Date,Natural1,Natural2,Natural3,Stock
2016-11-01,0.0,0.0,0.0,
2016-11-02,0.0,0.0,0.0,-9000.0
2016-11-03,0.0,0.0,0.0,-27000.0
2016-11-04,0.0,0.0,0.0,11000.0
2016-11-07,0.0,0.0,0.0,13000.0
2016-11-08,0.0,0.0,0.0,4000.0
2016-11-09,0.0,0.0,0.0,-48000.0
2016-11-10,0.0,0.0,0.0,53000.0
2016-11-11,0.0,0.0,0.0,-51000.0
2016-11-14,-60.0,-60.0,-60.0,-45000.0
2016-11-15,0.0,0.0,0.0,-14000.0
2016-11-16,0.0,0.0,0.0,19000.0
2016-11-17,0.0,0.0,0.0,10000.0
2016-11-18,0.0,0.0,0.0,18000.0
2016-11-21,0.0,0.0,0.0,7000.0
2016-11-22,0.0,0.0,0.0,47000.0
2016-11-23,0.0,0.0,0.0,9000.0
2016-11-24,0.0,0.0,0.0,1000.0
2016-11-25,0.0,0.0,0.0,0.0
2016-11-28,0.0,0.0,0.0,27000.0
2016-11-29,0.0,0.0,0.0,0.0
2016-11-30,0.0,0.0,0.0,69000.0
2016-12-01,0.0,0.0,0.0,3000.0
2016-12-02,0.0,0.0,0.0,-22000.0
2016-12-05,0.0,0.0,0.0,-9000.0
2016-12-06,10.0,10.0,10.0,30000.0
2016-12-07,0.0,0.0,0.0,24000.0
2016-12-08,3.33,-21.0,-21.0,18000.0
2016-12-09,0.0,0.0,0.0,-10000.0
2016-12-12,0.0,0.0,0.0,-28000.0
2016-12-13,0.0,0.0,0.0,14000.0
2016-12-14,0.0,0.0,0.0,11000.0
2016-12-15,0.0,0.0,0.0,-18000.0
2016-12-16,0.0,0.0,0.0,34000.0
2016-12-19,0.0,0.0,0.0,2000.0
2016-12-20,0.0,0.0,0.0,17000.0
2016-12-21,0.0,0.0,0.0,-7000.0
2016-12-22,0.0,0.0,0.0,4000.0
2016-12-23,0.0,0.0,0.0,-27000.0
2016-12-26,0.0,0.0,0.0,16000.0
2016-12-27,0.0,0.0,0.0,1000.0
2016-12-28,0.0,0.0,0.0,-11000.0
2016-12-29,0.0,0.0,0.0,14000.0
2016-12-30,0.0,0.0,0.0,0.0
2017-01-02,0.0,0.0,0.0,3000.0
2017-01-03,0.0,0.0,0.0,19000.0
2017-01-04,0.0,0.0,0.0,-16000.0
2017-01-05,0.0,0.0,0.0,-30000.0
2017-01-06,0.0,0.0,0.0,32000.0
2017-01-09,0.0,0.0,0.0,51000.0
2017-01-10,0.0,0.0,0.0,1000.0
2017-01-11,0.0,0.0,0.0,52000.0
2017-01-12,0.0,0.0,0.0,26000.0
2017-01-13,0.0,0.0,0.0,-67000.0
2017-01-16,0.0,0.0,0.0,-40000.0
2017-01-17,0.0,0.0,0.0,15000.0
2017-01-18,0.0,0.0,0.0,-1000.0
2017-01-19,0.0,0.0,0.0,27000.0
2017-01-20,0.0,0.0,0.0,-14000.0
2017-01-23,1.0,1.0,1.0,43000.0
2017-01-24,0.0,0.0,0.0,5000.0
2017-01-25,0.0,0.0,0.0,62000.0
2017-01-26,0.0,0.0,0.0,25000.0
2017-01-27,0.0,0.0,0.0,0.0
2017-01-30,0.0,0.0,0.0,0.0
2017-01-31,0.0,0.0,0.0,-22000.0
2017-02-01,0.0,0.0,0.0,-17000.0
2017-02-02,0.0,0.0,0.0,12000.0
2017-02-03,0.0,0.0,0.0,5000.0
2017-02-06,0.0,0.0,0.0,5000.0
2017-02-07,0.0,0.0,0.0,-37000.0
2017-02-08,0.0,0.0,0.0,-21000.0
2017-02-09,0.0,0.0,0.0,0.0
2017-02-10,0.0,0.0,0.0,-2000.0
2017-02-13,0.0,0.0,0.0,-20000.0
2017-02-14,0.0,0.0,0.0,-19000.0
2017-02-15,0.0,0.0,0.0,7000.0
2017-02-16,0.0,0.0,0.0,15000.0
2017-02-17,0.0,0.0,0.0,-8000.0
2017-02-20,0.0,0.0,0.0,40000.0
2017-02-21,0.0,0.0,0.0,14000.0
2017-02-22,0.0,0.0,0.0,18000.0
2017-02-23,0.0,0.0,0.0,-6000.0
2017-02-24,0.0,0.0,0.0,-48000.0
2017-02-27,0.0,0.0,0.0,-8000.0
2017-02-28,0.0,0.0,0.0,19000.0
2017-03-01,0.0,0.0,0.0,0.0
2017-03-02,0.0,0.0,0.0,64000.0
2017-03-03,0.0,0.0,0.0,-5000.0
2017-03-06,0.0,0.0,0.0,23000.0
2017-03-07,0.0,0.0,0.0,6000.0
2017-03-08,0.0,0.0,0.0,0.0
2017-03-09,0.0,0.0,0.0,0.0
2017-03-10,0.0,0.0,0.0,-1000.0
2017-03-13,0.0,0.0,0.0,21000.0
2017-03-14,0.0,0.0,0.0,38000.0
2017-03-15,0.0,0.0,0.0,2000.0
2017-03-16,0.0,0.0,0.0,22000.0
2017-03-17,0.0,0.0,0.0,28000.0
2017-03-20,0.0,0.0,0.0,-25000.0
2017-03-21,0.0,0.0,0.0,33000.0
2017-03-22,0.0,0.0,0.0,-5000.0
2017-03-23,0.0,0.0,0.0,-33000.0
2017-03-24,0.0,0.0,0.0,-15000.0
2017-03-27,0.0,0.0,0.0,-15000.0
2017-03-28,0.0,0.0,0.0,14000.0
2017-03-29,0.0,0.0,0.0,15000.0
2017-03-30,0.0,0.0,0.0,10000.0
2017-03-31,0.0,0.0,0.0,-39000.0
2017-04-03,0.0,0.0,0.0,12000.0
2017-04-04,-63.64,-63.64,-63.64,32000.0
2017-04-05,0.0,0.0,0.0,3000.0
2017-04-06,0.0,0.0,0.0,-15000.0
2017-04-07,0.0,0.0,0.0,-12000.0
2017-04-10,0.0,0.0,0.0,17000.0
2017-04-11,0.0,0.0,0.0,-17000.0
2017-04-12,0.0,0.0,0.0,15000.0
2017-04-13,0.0,0.0,0.0,26000.0
2017-04-14,0.0,0.0,0.0,-20000.0
2017-04-17,0.0,0.0,0.0,-23000.0
2017-04-18,0.0,0.0,0.0,-3000.0
2017-04-19,0.0,0.0,0.0,-30000.0
2017-04-20,0.0,0.0,0.0,-31000.0
2017-04-21,0.0,0.0,0.0,24000.0
2017-04-24,0.0,0.0,0.0,24000.0
2017-04-25,0.0,0.0,0.0,73000.0
2017-04-26,-33.33,-33.33,-33.33,5000.0
2017-04-27,66.67,66.67,66.67,52000.0
2017-04-28,-16.67,-16.67,-16.67,39000.0
