Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,81.25,48,87.50,40,90.32,31
2016-11-02,78.26,69,80.36,56,79.07,43
2016-11-03,70.42,71,71.88,64,70.37,54
2016-11-04,71.19,59,77.55,49,84.62,39
2016-11-05,85.19,27,90.91,22,94.44,18
2016-11-06,75.86,29,78.26,23,100.00,15
2016-11-07,83.08,65,85.45,55,85.00,40
2016-11-08,88.24,51,89.36,47,91.89,37
2016-11-09,85.07,67,96.23,53,100.00,41
2016-11-10,85.57,97,88.31,77,87.50,56
2016-11-11,83.64,55,82.61,46,82.86,35
2016-11-12,81.25,16,84.62,13,88.89,9
2016-11-13,87.50,24,85.00,20,88.24,17
2016-11-14,82.86,70,85.45,55,85.71,42
2016-11-15,83.91,87,86.96,69,86.79,53
2016-11-16,84.62,91,86.75,83,85.71,70
2016-11-17,75.68,111,80.43,92,85.07,67
2016-11-18,86.49,74,91.38,58,93.02,43
2016-11-19,90.48,21,90.00,20,88.24,17
2016-11-20,95.24,21,94.44,18,100.00,12
2016-11-21,92.42,66,98.25,57,97.87,47
2016-11-22,81.94,72,85.48,62,88.64,44
2016-11-23,87.30,63,91.49,47,89.47,38
2016-11-24,87.50,24,86.36,22,93.33,15
2016-11-25,77.50,40,83.33,36,93.10,29
2016-11-26,79.17,24,81.82,22,85.71,14
2016-11-27,65.00,20,72.22,18,85.71,14
2016-11-28,88.37,86,90.14,71,90.20,51
2016-11-29,88.10,84,89.04,73,92.31,52
2016-11-30,83.33,90,89.19,74,89.47,57
2016-12-01,86.00,100,88.24,85,90.00,70
2016-12-02,88.68,53,86.96,46,92.50,40
2016-12-03,86.36,22,95.00,20,93.75,16
2016-12-04,95.00,20,94.74,19,92.31,13
2016-12-05,81.11,90,83.78,74,83.64,55
2016-12-06,82.56,86,84.00,75,85.19,54
2016-12-07,88.89,90,92.31,78,98.28,58
2016-12-08,88.17,93,92.31,78,95.24,63
2016-12-09,83.65,104,86.36,88,88.41,69
2016-12-10,84.38,32,92.86,28,95.45,22
2016-12-11,100.00,20,100.00,18,100.00,14
2016-12-12,87.62,105,91.40,93,94.29,70
2016-12-13,84.62,130,87.27,110,85.56,90
2016-12-14,82.48,137,85.34,116,90.22,92
2016-12-15,82.42,91,88.61,79,88.71,62
2016-12-16,83.95,81,84.85,66,88.24,51
2016-12-17,86.36,22,90.48,21,88.24,17
2016-12-18,90.00,20,94.44,18,100.00,15
2016-12-19,87.37,95,91.03,78,95.08,61
2016-12-20,85.92,71,90.32,62,93.88,49
2016-12-21,87.88,66,89.09,55,86.67,45
2016-12-22,86.96,69,91.53,59,93.88,49
2016-12-23,82.05,39,88.24,34,86.36,22
2016-12-24,75.00,16,100.00,11,100.00,8
2016-12-25,83.33,6,100.00,4,100.00,4
2016-12-26,100.00,27,100.00,24,100.00,20
2016-12-27,79.37,63,83.64,55,81.58,38
2016-12-28,84.44,45,87.50,40,95.83,24
2016-12-29,79.59,49,82.93,41,87.10,31
2016-12-30,92.06,63,91.07,56,91.43,35
2016-12-31,-1,0,-1,0,-1,0
2017-01-01,83.33,18,87.50,16,92.31,13
2017-01-02,82.76,29,91.67,24,94.74,19
2017-01-03,83.33,48,83.72,43,82.86,35
2017-01-04,86.00,50,95.24,42,96.88,32
2017-01-05,93.33,60,96.23,53,95.24,42
2017-01-06,82.35,51,86.36,44,89.66,29
2017-01-07,86.96,23,95.00,20,93.33,15
2017-01-08,90.00,20,100.00,17,100.00,17
2017-01-09,81.82,66,89.47,57,89.80,49
2017-01-10,86.96,46,89.19,37,96.00,25
2017-01-11,79.07,43,84.38,32,91.30,23
2017-01-12,84.38,64,84.91,53,94.74,38
2017-01-13,88.00,50,92.86,42,90.91,33
2017-01-14,90.00,20,94.74,19,93.75,16
2017-01-15,94.44,18,93.75,16,91.67,12
2017-01-16,91.67,24,95.45,22,94.74,19
2017-01-17,86.49,74,87.69,65,88.89,54
2017-01-18,90.57,53,91.11,45,94.74,38
2017-01-19,91.23,57,97.87,47,96.77,31
2017-01-20,90.43,94,95.00,80,93.75,64
2017-01-21,95.12,41,97.37,38,97.14,35
2017-01-22,93.10,29,92.59,27,92.00,25
2017-01-23,92.55,94,94.05,84,98.55,69
2017-01-24,92.77,83,95.95,74,96.83,63
2017-01-25,87.59,137,91.30,115,94.12,85
2017-01-26,85.16,876,89.08,714,89.21,454
2017-01-27,84.62,442,88.20,373,92.09,253
2017-01-28,89.19,37,93.94,33,95.65,23
2017-01-29,80.00,45,87.18,39,86.21,29
2017-01-30,81.00,100,85.19,81,88.52,61
2017-01-31,84.16,101,86.90,84,83.61,61
2017-02-01,75.00,120,81.19,101,84.21,76
2017-02-02,80.00,105,80.46,87,82.26,62
2017-02-03,86.25,80,88.41,69,90.24,41
2017-02-04,78.95,19,83.33,18,84.62,13
2017-02-05,66.67,21,76.47,17,80.00,15
2017-02-06,87.69,65,92.98,57,95.56,45
2017-02-07,81.36,59,87.50,48,87.80,41
2017-02-08,87.14,70,92.86,56,94.74,38
2017-02-09,79.57,93,84.21,76,91.23,57
2017-02-10,84.06,69,89.29,56,88.10,42
2017-02-11,71.43,21,66.67,15,77.78,9
2017-02-12,70.00,20,73.68,19,78.57,14
2017-02-13,90.43,94,93.75,80,94.74,57
2017-02-14,92.45,53,93.88,49,91.89,37
2017-02-15,91.84,49,93.48,46,91.67,36
2017-02-16,87.10,62,86.00,50,92.50,40
2017-02-17,83.93,56,89.80,49,97.37,38
2017-02-18,73.91,23,83.33,18,80.00,15
2017-02-19,95.24,21,94.74,19,100.00,17
2017-02-20,84.21,38,86.11,36,88.89,27
2017-02-21,87.88,66,93.22,59,92.00,50
2017-02-22,83.05,59,87.76,49,90.24,41
2017-02-23,90.28,72,95.38,65,97.87,47
2017-02-24,81.36,59,82.69,52,86.11,36
2017-02-25,80.00,5,80.00,5,80.00,5
2017-02-26,78.57,14,84.62,13,87.50,8
2017-02-27,71.43,35,76.67,30,79.17,24
2017-02-28,85.71,35,88.00,25,88.89,18
2017-03-01,83.33,66,88.68,53,86.84,38
2017-03-02,84.72,72,86.89,61,90.48,42
2017-03-03,81.63,49,81.08,37,76.92,26
2017-03-04,94.74,19,94.44,18,100.00,10
2017-03-05,84.21,19,83.33,18,86.67,15
2017-03-06,73.17,41,75.68,37,76.67,30
2017-03-07,77.78,45,78.95,38,88.89,27
2017-03-08,89.63,135,92.50,120,93.41,91
2017-03-09,83.87,62,86.00,50,91.89,37
2017-03-10,81.25,48,83.72,43,93.75,32
2017-03-11,75.00,20,72.22,18,81.25,16
2017-03-12,92.31,13,90.91,11,100.00,8
2017-03-13,90.48,42,92.11,38,100.00,25
2017-03-14,88.89,45,90.91,33,87.50,24
2017-03-15,89.13,46,94.59,37,96.30,27
2017-03-16,86.67,45,87.80,41,88.24,34
2017-03-17,83.82,68,83.33,54,88.37,43
2017-03-18,94.12,17,93.75,16,93.33,15
2017-03-19,86.67,15,84.62,13,90.91,11
2017-03-20,76.19,63,86.00,50,88.37,43
2017-03-21,76.19,63,79.55,44,86.49,37
2017-03-22,79.71,69,80.36,56,82.98,47
2017-03-23,83.67,49,83.33,42,82.35,34
2017-03-24,78.08,73,80.95,63,83.78,37
2017-03-25,72.22,18,100.00,10,100.00,10
2017-03-26,93.33,15,92.31,13,91.67,12
2017-03-27,74.24,66,78.85,52,80.85,47
2017-03-28,85.71,42,91.18,34,93.33,30
2017-03-29,80.00,50,83.33,42,84.85,33
2017-03-30,86.46,96,90.12,81,93.22,59
2017-03-31,82.00,50,86.84,38,90.32,31
2017-04-01,87.50,16,85.71,14,90.00,10
2017-04-02,70.59,17,80.00,15,80.00,15
2017-04-03,86.96,46,88.10,42,90.91,33
2017-04-04,87.50,56,93.75,48,97.06,34
2017-04-05,86.21,58,86.79,53,93.02,43
2017-04-06,92.06,63,98.15,54,97.50,40
2017-04-07,80.00,35,83.33,30,81.48,27
2017-04-08,83.33,12,90.91,11,87.50,8
2017-04-09,100.00,4,100.00,3,100.00,2
2017-04-10,92.42,66,94.74,57,97.56,41
2017-04-11,90.16,61,92.86,56,97.50,40
2017-04-12,92.16,51,95.56,45,97.06,34
2017-04-13,88.89,45,92.68,41,93.33,30
2017-04-14,88.89,27,88.00,25,87.50,16
2017-04-15,76.92,13,83.33,12,88.89,9
2017-04-16,81.25,16,92.31,13,91.67,12
2017-04-17,85.71,49,86.05,43,87.10,31
2017-04-18,76.27,59,78.72,47,82.86,35
2017-04-19,75.44,57,84.78,46,90.91,33
2017-04-20,83.33,66,83.93,56,87.23,47
2017-04-21,87.79,131,93.27,104,94.81,77
2017-04-22,84.44,45,89.47,38,96.55,29
2017-04-23,78.57,28,86.36,22,92.86,14
2017-04-24,90.14,142,92.19,128,94.12,102
2017-04-25,80.00,105,85.53,76,87.50,56
2017-04-26,83.69,141,87.72,114,86.52,89
2017-04-27,88.58,543,91.50,459,92.97,327
2017-04-28,85.67,300,91.32,242,93.45,168
2017-04-29,72.00,25,75.00,20,82.35,17
2017-04-30,90.00,20,89.47,19,86.67,15
